;(Õ1);(Õ2);(Õ3);(Õ4);(Õ5);(Õ6);(Õ7);(Õ8);(Õ9);(Õ10);(Õ11);(Õ12);(Õ13);(Õ14);(Õ15);(Õ16);(Õ17)
(Õ1);0;0,8;0;0;0,7;0,4;-0,2;-0,4;-0,5;-0,3;0;0;0;0;0;0;0
(Õ2);0;0;0;0;0,9;0,7;-0,4;-0,6;-0,3;-0,3;0;0;0;0;0;0;0
(Õ3);0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0,2;0,8
(Õ4);0;0;0;0;0;0;0;0;0;0;0;0;0;0,6;0;0,2;0,8
(Õ5);0;0;0;0;0;0,5;0;0;0,7;0,3;0;0;0;0;0;0;0
(Õ6);0;0;0;0;0;0;0;0;-0,3;-0,8;0;0;0;0;-0,3;0,1;0,4
(Õ7);0;0;0,4;0;0;0;0;0;0;0;0;0;0;0;0,6;0;0
(Õ8);0;0;0,6;0;0;0;0,3;0;0,2;0,3;0;0;0;0;0,6;0;0
(Õ9);0;0;0,8;0;0;0;0,6;0;0;0;0;0;0;0;0,7;0;0
(Õ10);0;0;0,3;0;0;0,9;0,4;0;0;0;0;0;0;0;0,4;0;0
(Õ11);0;0;0,6;0;0,7;0,7;0,5;0,6;0,6;0,5;0;0;0;0;0;0;0
(Õ12);0;0;0,2;0;0,3;0,3;0,6;0,8;0,8;0,2;0;0;0;0;0;0;0
(Õ13);0;0;-0,7;0;0,5;0,7;0;0;-0,8;0,2;0;0;0;0;-0,3;0;0
(Õ14);0;0;0,7;0;0;0;0;0;0;0;0;0;0;0;0,5;0,8;0,9
(Õ15);0;0;0,6;0;0;0;0;0;0;0;0;0;0;0;0;0,7;0,8
(Õ16);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(Õ17);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
