;(?1);(?2);(?3);(?4);(?5);(?6);(?7);(?8);(?9);(?10);(?11);(?12);(?13);(?14);(?15)
Суммарная активность излучения;0;0;0;0,99;0,59;-0,99;-0,99;-0,99;-0,3216;0;0;0;0;0;0
Надежность работы конструкции;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0474;0,1364
Толщина слоя защитного материала;0;0;0;0;0;0;0;0;0;0;0;0,99;0;0,99;0,99
Поглощенная материалом энергия излучения;0;0;0;0;0,99;0;0;0,99;0,99;0;0;0,198;0;0;0
Поглощенное материалом количество тепла;0;0;0;0;0;0;0;-0,071;-0,3216;0;0;0;-0,99;0,9057;0,99
Размерная стабильность материала;0;0,99;0;0;0;0;0;0;0;0;0;0;0,0633;0;0
Структурная стабильность материала;0;0,1562;0;0;0;0,3166;0;0,1597;0,0688;0;0;0;0,4755;0;0
Стабильность прочностных свойств;0;0,9876;0;0;0;0,1124;0;0;0;0;0;0;0,1752;0;0
Стабильность теплофизических свойств;0;0,5;0;0;0,0789;0,1124;0;0;0;0;0;0;0,2325;0;0
Объемное содержание стеклянного наполнителя;0;0,0432;0;0,099;0,0719;0,0414;0,1262;0,468;0,3216;0;0;0;0;0;0
Пористость материалов;0;-0,0432;0;0,099;0,0748;0;0;-0,3635;0,0688;0;0;0;-0,1207;0;0
Технологичность;0;0,2744;0;0;0;0;0;0;0;0;0;0;0,0344;0,1549;0,3215
Количество термоциклов;0;0,0932;0;0;0;0;0;0;0;0;0;0;0;0,2031;0,0669
Удельная материалоемкость;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Эффективность;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
